iter	Logloss
0	0.6883446648
1	0.6845081628
2	0.6818404198
3	0.6776822119
4	0.6740428025
5	0.6723636375
6	0.6684708689
7	0.6663439859
8	0.6626020884
9	0.6589283467
10	0.6556218966
11	0.6520036588
12	0.6505215228
13	0.6464796631
14	0.6428817068
15	0.6393824874
16	0.6361619315
17	0.6332489671
18	0.6300064767
19	0.6267770834
20	0.6241174148
21	0.6211039968
22	0.6180905788
23	0.6156047966
24	0.612628254
25	0.6093607138
26	0.6065209915
27	0.6042350358
28	0.601227467
29	0.5980310072
30	0.5964825591
31	0.593686388
32	0.5923712084
33	0.58948056
34	0.5865630816
35	0.5838322053
36	0.5815760042
37	0.5789479339
38	0.5769290068
39	0.5751982163
40	0.573929576
41	0.5716358637
42	0.5695777724
43	0.5669163872
44	0.5646704857
45	0.562363422
46	0.5602661665
47	0.5575408851
48	0.5553696245
49	0.5527238159
50	0.5503903672
51	0.5485181151
52	0.5465405139
53	0.544809469
54	0.5426436126
55	0.5405489002
56	0.5388458298
57	0.5366496466
58	0.5354049753
59	0.5341989596
60	0.53246019
61	0.5305540189
62	0.5289186275
63	0.5268794508
64	0.5247113055
65	0.5228720823
66	0.5223174257
67	0.5204144017
68	0.5185686935
69	0.5167592567
70	0.5150963042
71	0.5134625977
72	0.5119933044
73	0.5103077181
74	0.5085803608
75	0.5074403711
76	0.5053145689
77	0.5036517436
78	0.501706599
79	0.5002265293
80	0.4984724055
81	0.4967649165
82	0.4950931265
83	0.4931808837
84	0.491752376
85	0.4901564031
86	0.4884210985
87	0.4866462165
88	0.4849674012
89	0.4836916084
90	0.4825317187
91	0.4816130767
92	0.4804296313
93	0.4795512342
94	0.478290732
95	0.4772735437
96	0.476171987
97	0.4750424878
98	0.4738623802
99	0.4719671128
100	0.4704133876
101	0.4689971505
102	0.4677566436
103	0.4665606097
104	0.4652031188
105	0.4641965481
106	0.4638952508
107	0.4631746868
108	0.4620958593
109	0.4609263058
110	0.4595535879
111	0.4581235861
112	0.4564692166
113	0.4552034373
114	0.4540886246
115	0.4528828315
116	0.4526552849
117	0.45116695
118	0.4498634371
119	0.4487323166
120	0.4473989219
121	0.4458956461
122	0.444813608
123	0.4434211809
124	0.4433113177
125	0.4421111512
126	0.4408312893
127	0.439652199
128	0.4385043256
129	0.4375779271
130	0.4363447317
131	0.4349489985
132	0.4348692078
133	0.4339429999
134	0.432562907
135	0.4312056387
136	0.4300579242
137	0.4288609366
138	0.4276727546
139	0.4268112377
140	0.4259938758
141	0.4252754416
142	0.4245315126
143	0.4234327852
144	0.4225042567
145	0.4216599377
146	0.4209362583
147	0.4197307512
148	0.4186495714
149	0.4178224185
150	0.416663101
151	0.4156476293
152	0.4148703535
153	0.4137785879
154	0.4131484003
155	0.4124267873
156	0.4110595371
157	0.4099472994
158	0.4087457341
159	0.4075585376
160	0.4067095773
161	0.4057651861
162	0.4050992994
163	0.404573857
164	0.4036285121
165	0.4030832015
166	0.4030264261
167	0.4017791481
168	0.4011184112
169	0.3999995931
170	0.3993139017
171	0.3985005771
172	0.3975508771
173	0.3970534409
174	0.3966589697
175	0.3956125036
176	0.394921122
177	0.3941017256
178	0.3932221842
179	0.3924644904
180	0.3916097763
181	0.3908997663
182	0.390057895
183	0.389203308
184	0.3885403777
185	0.3879895994
186	0.3872215742
187	0.386403195
188	0.385846949
189	0.3847206922
190	0.3841000414
191	0.3834156534
192	0.3823360312
193	0.3815499498
194	0.3806171298
195	0.3799689179
196	0.3792213967
197	0.3782539901
198	0.3775416595
199	0.3767654963
200	0.3760587605
201	0.3752519208
202	0.3743702496
203	0.3738084722
204	0.3733209224
205	0.3727843539
206	0.3719305934
207	0.3714751507
208	0.3706702501
209	0.3697036065
210	0.3688018763
211	0.3681299814
212	0.3674128824
213	0.3668865817
214	0.3664727509
215	0.366027131
216	0.3653497684
