iter	Passed	Remaining
0	6	3463
1	13	3277
2	15	2616
3	22	2742
4	29	2897
5	31	2558
6	37	2651
7	41	2522
8	47	2598
9	55	2742
10	61	2751
11	68	2803
12	71	2669
13	78	2725
14	84	2738
15	91	2765
16	97	2774
17	104	2795
18	110	2787
19	117	2808
20	123	2809
21	129	2813
22	135	2801
23	140	2793
24	146	2790
25	152	2781
26	158	2782
27	164	2780
28	170	2773
29	177	2782
30	182	2762
31	189	2766
32	191	2711
33	197	2709
34	203	2709
35	210	2708
36	215	2701
37	222	2700
38	226	2677
39	229	2642
40	232	2602
41	238	2600
42	244	2595
43	249	2590
44	255	2586
45	261	2581
46	268	2590
47	279	2628
48	290	2675
49	298	2685
50	304	2679
51	315	2717
52	321	2709
53	327	2703
54	339	2742
55	346	2744
56	354	2752
57	360	2743
58	364	2721
59	367	2692
60	372	2683
61	378	2676
62	384	2668
63	390	2662
64	396	2655
65	402	2649
66	405	2617
67	410	2610
68	416	2603
69	422	2597
70	428	2591
71	434	2581
72	439	2571
73	445	2563
74	451	2555
75	455	2540
76	461	2534
77	467	2529
78	473	2525
79	480	2522
80	486	2515
81	492	2509
82	498	2502
83	504	2496
84	509	2488
85	515	2481
86	521	2474
87	527	2467
88	532	2459
89	538	2451
90	543	2444
91	549	2437
92	555	2430
93	560	2422
94	566	2415
95	573	2412
96	579	2407
97	585	2400
98	590	2392
99	595	2383
100	601	2376
101	608	2372
102	614	2368
103	621	2364
104	627	2360
105	635	2363
106	638	2344
107	647	2349
108	653	2344
109	660	2342
110	667	2340
111	675	2340
112	687	2355
113	697	2362
114	705	2360
115	712	2358
116	716	2345
117	723	2342
118	731	2340
119	738	2338
120	744	2331
121	750	2324
122	756	2317
123	761	2309
124	763	2290
125	769	2283
126	775	2276
127	780	2269
128	786	2262
129	792	2255
130	799	2251
131	806	2247
132	808	2230
133	814	2225
134	820	2219
135	827	2214
136	833	2208
137	839	2201
138	845	2195
139	851	2188
140	856	2180
141	862	2173
142	867	2166
143	873	2160
144	879	2153
145	885	2147
146	891	2140
147	896	2133
148	902	2126
149	910	2123
150	916	2117
151	925	2119
152	934	2119
153	941	2115
154	948	2110
155	954	2105
156	961	2099
157	967	2094
158	975	2091
159	981	2086
160	987	2079
161	994	2074
162	1000	2067
163	1006	2061
164	1013	2057
165	1019	2051
166	1021	2037
167	1029	2035
168	1036	2030
169	1043	2025
170	1048	2017
171	1055	2013
172	1062	2008
173	1069	2002
174	1074	1995
175	1080	1988
176	1086	1982
177	1092	1976
178	1098	1969
179	1103	1962
180	1110	1956
181	1116	1951
182	1122	1944
183	1128	1938
184	1134	1932
185	1141	1927
186	1147	1920
187	1154	1915
188	1160	1909
189	1166	1902
190	1173	1898
191	1179	1891
192	1184	1884
193	1190	1877
194	1196	1870
195	1201	1864
196	1207	1857
197	1213	1851
198	1219	1844
199	1224	1837
200	1230	1830
201	1237	1825
202	1244	1820
203	1250	1815
204	1256	1808
205	1262	1801
206	1268	1795
207	1273	1788
208	1279	1781
209	1285	1775
210	1291	1768
211	1297	1762
212	1302	1755
213	1309	1750
214	1315	1743
215	1320	1736
216	1326	1730
217	1332	1724
218	1338	1717
219	1340	1706
220	1346	1699
221	1351	1692
222	1357	1686
223	1363	1679
224	1369	1673
225	1375	1667
226	1381	1661
227	1387	1654
228	1392	1647
229	1397	1640
230	1403	1633
231	1408	1627
232	1414	1620
233	1420	1614
234	1424	1606
235	1429	1599
236	1434	1592
237	1439	1584
238	1444	1577
239	1449	1570
240	1454	1563
241	1457	1553
242	1462	1546
243	1467	1539
244	1472	1532
245	1477	1525
246	1482	1518
247	1487	1511
248	1492	1504
249	1497	1497
250	1501	1489
251	1506	1482
252	1511	1476
253	1516	1468
254	1521	1461
255	1526	1455
256	1531	1448
257	1536	1441
258	1541	1434
259	1546	1427
260	1551	1420
261	1557	1414
262	1562	1407
263	1567	1401
264	1572	1394
265	1577	1387
266	1582	1380
267	1587	1374
268	1592	1367
269	1597	1360
270	1601	1353
271	1606	1346
272	1611	1340
273	1616	1333
274	1621	1326
275	1626	1320
276	1632	1314
277	1638	1308
278	1643	1301
279	1648	1295
280	1653	1288
281	1658	1282
282	1663	1275
283	1668	1269
284	1673	1262
285	1678	1256
286	1683	1249
287	1685	1240
288	1690	1234
289	1695	1227
290	1700	1221
291	1705	1214
292	1710	1208
293	1715	1201
294	1720	1195
295	1724	1188
296	1729	1182
297	1734	1175
298	1739	1169
299	1745	1163
300	1750	1157
301	1755	1150
302	1760	1144
303	1765	1138
304	1769	1131
305	1774	1125
306	1779	1118
307	1784	1112
308	1788	1105
309	1793	1099
310	1798	1092
311	1802	1086
312	1807	1079
313	1812	1073
314	1816	1067
315	1821	1060
316	1826	1054
317	1831	1047
318	1835	1041
319	1840	1035
320	1845	1028
321	1849	1022
322	1854	1016
323	1859	1010
324	1864	1003
325	1869	997
326	1873	991
327	1878	985
328	1883	978
329	1888	973
330	1894	967
331	1899	961
332	1904	955
333	1910	949
334	1915	943
335	1920	937
336	1925	931
337	1929	925
338	1934	918
339	1940	913
340	1945	907
341	1947	899
342	1951	893
343	1957	887
344	1961	881
345	1966	875
346	1971	869
347	1976	863
348	1978	856
349	1983	850
350	1988	844
351	1993	838
352	1998	832
353	2003	826
354	2008	820
355	2013	814
356	2017	808
357	2022	802
358	2027	796
359	2032	790
360	2037	784
361	2041	778
362	2046	772
363	2051	766
364	2055	760
365	2060	754
366	2065	748
367	2070	742
368	2076	737
369	2081	731
370	2086	725
371	2091	719
372	2096	713
373	2100	707
374	2105	701
375	2110	695
376	2114	690
377	2119	684
378	2124	678
379	2129	672
380	2134	666
381	2139	660
382	2144	655
383	2153	650
384	2160	645
385	2163	638
386	2169	633
387	2176	628
388	2182	622
389	2188	617
390	2194	611
391	2203	607
392	2210	601
393	2220	597
394	2226	591
395	2232	586
396	2239	580
397	2244	575
398	2250	569
399	2257	564
400	2263	558
401	2268	553
402	2273	547
403	2279	541
404	2284	535
405	2289	530
406	2294	524
407	2299	518
408	2304	512
409	2309	507
410	2315	501
411	2321	495
412	2326	490
413	2331	484
414	2336	478
415	2342	472
416	2347	467
417	2353	461
418	2358	455
419	2363	450
420	2366	443
421	2370	438
422	2375	432
423	2380	426
424	2384	420
425	2388	414
426	2393	409
427	2399	403
428	2404	397
429	2410	392
430	2415	386
431	2420	381
432	2425	375
