iter	Logloss
0	0.6453811817
1	0.5986785372
2	0.5586430057
3	0.5233842197
4	0.5001405842
5	0.4797093348
6	0.4613683532
7	0.43641338
8	0.4159072051
9	0.3963587549
10	0.3847948647
11	0.3698038763
12	0.3563754186
13	0.3471236662
14	0.3398059597
15	0.3317873809
16	0.3251740089
17	0.317226128
18	0.3086235153
19	0.3025421193
20	0.2974807024
21	0.2910440487
22	0.2882784083
23	0.2847877264
24	0.2805447986
25	0.2774969348
26	0.2729247493
27	0.2705778158
28	0.2681743939
29	0.2656979179
30	0.2598125318
31	0.2580669214
32	0.2563045597
33	0.2533306772
34	0.2512249433
35	0.2498952321
36	0.2487641692
37	0.247554096
38	0.2422420526
39	0.241319401
40	0.2400334395
41	0.2392756057
42	0.2373609658
43	0.2350913099
44	0.2343606662
45	0.233604525
46	0.2323041977
47	0.2316322195
48	0.2288090012
49	0.2278508129
50	0.2266676745
51	0.2260126124
52	0.2253428351
53	0.2240153293
54	0.2222718002
55	0.2217093679
56	0.2210734971
57	0.2194022155
58	0.218845189
59	0.2181140051
60	0.215903861
61	0.2143965585
62	0.2136847755
63	0.2131922114
64	0.2117099817
65	0.2110655514
66	0.2095262405
67	0.2066295972
68	0.2046682359
69	0.2041477607
70	0.2035643941
71	0.2030096609
72	0.2019277516
73	0.2013791297
74	0.2006216268
75	0.2001561433
76	0.199581376
77	0.1987327074
78	0.1977656579
79	0.1962363562
80	0.1957427131
81	0.1952786636
82	0.19444604
83	0.1940159999
84	0.1927899506
85	0.1924146769
86	0.1919540022
87	0.1915903921
88	0.190860179
89	0.1898950905
90	0.1894480983
91	0.1881576627
92	0.1867644664
93	0.1859852892
94	0.1857422788
95	0.1840080466
96	0.1836883404
97	0.1832654296
98	0.1821823276
99	0.1818214073
100	0.1815109776
101	0.1812540706
102	0.1810109894
103	0.1807164115
104	0.1805069388
105	0.179552549
106	0.1791747149
107	0.1782238588
108	0.1779206154
109	0.1775111605
110	0.1770343003
111	0.1757092865
112	0.1754101709
113	0.1744280021
114	0.1735428707
115	0.1732360567
116	0.1728909715
117	0.1718783134
118	0.1715057363
119	0.1711869353
120	0.1710287663
121	0.1702086778
122	0.1700904979
123	0.1697554549
124	0.169612378
125	0.1692945926
126	0.1691102462
127	0.1688343663
128	0.1685862338
129	0.1679821453
130	0.1669269999
131	0.1662513877
132	0.1658680459
133	0.1651868282
134	0.1648286912
135	0.1644399343
136	0.1636813097
137	0.1632008458
138	0.162883264
139	0.1625992331
140	0.1618678811
141	0.1617089225
142	0.1615727193
143	0.1612913388
144	0.1608847267
145	0.1606038927
146	0.1603885811
147	0.1601493064
148	0.159980168
149	0.1597274711
150	0.1589559178
151	0.1586549323
152	0.1584749522
153	0.1582957364
154	0.1579410811
155	0.1570108201
156	0.1564064273
157	0.1562709235
158	0.156070636
159	0.155837353
160	0.1556492056
161	0.1553956032
162	0.1551211445
163	0.1549557169
164	0.1546903689
165	0.1543065086
166	0.1541083198
167	0.1539035416
168	0.15365609
169	0.1535047593
170	0.1532685659
171	0.1531763491
172	0.152936993
173	0.1524071035
174	0.1520349747
175	0.1518517793
176	0.1514941044
177	0.1509652987
178	0.1508039208
179	0.1506910911
180	0.1500028032
